"","Sample_1S10","Sample_1S11","Sample_1S12","Sample_1S13","Sample_1S14","Sample_1S15","Sample_1S16","Sample_1S17","Sample_1S18","Sample_1S19","Sample_1S1","Sample_1S20","Sample_1S21","Sample_1S22","Sample_1S23","Sample_1S24","Sample_1S25","Sample_1S2","Sample_1S3","Sample_1S4","Sample_1S5","Sample_1S6","Sample_1S7","Sample_1S8","Sample_1S9","Sample_2S10","Sample_2S11","Sample_2S12","Sample_2S13","Sample_2S14","Sample_2S15","Sample_2S16","Sample_2S17","Sample_2S18","Sample_2S19","Sample_2S1","Sample_2S20","Sample_2S21","Sample_2S22","Sample_2S23","Sample_2S24","Sample_2S25","Sample_2S2","Sample_2S3","Sample_2S4","Sample_2S5","Sample_2S6","Sample_2S7","Sample_2S8","Sample_2S9","Sample_3S10","Sample_3S11","Sample_3S12","Sample_3S13","Sample_3S14","Sample_3S15","Sample_3S16","Sample_3S17","Sample_3S18","Sample_3S19","Sample_3S1","Sample_3S20","Sample_3S21","Sample_3S22","Sample_3S23","Sample_3S24","Sample_3S25","Sample_3S2","Sample_3S3","Sample_3S4","Sample_3S5","Sample_3S6","Sample_3S7","Sample_3S8","Sample_3S9","Sample_4S10","Sample_4S11","Sample_4S12","Sample_4S13","Sample_4S14","Sample_4S15","Sample_4S16","Sample_4S17","Sample_4S18","Sample_4S19","Sample_4S1","Sample_4S20","Sample_4S21","Sample_4S22","Sample_4S23","Sample_4S24","Sample_4S25","Sample_4S2","Sample_4S3","Sample_4S4","Sample_4S5","Sample_4S6","Sample_4S7","Sample_4S9","Sample_N10","Sample_N11","Sample_N12","Sample_N13","Sample_N14","Sample_N15","Sample_N16","Sample_N17","Sample_N18","Sample_N19","Sample_N1","Sample_N20","Sample_N21","Sample_N22","Sample_N23","Sample_N24","Sample_N25","Sample_N26","Sample_N27","Sample_N28","Sample_N29","Sample_N2","Sample_N30","Sample_N31","Sample_N32","Sample_N33","Sample_N34","Sample_N35","Sample_N36","Sample_N37","Sample_N38","Sample_N39","Sample_N3","Sample_N40","Sample_N41","Sample_N42","Sample_N43","Sample_N44","Sample_N45","Sample_N46","Sample_N47","Sample_N48","Sample_N49","Sample_N4","Sample_N50","Sample_N5","Sample_N6","Sample_N7","Sample_N8","Sample_N9","Sample_Pan01","Sample_Pan02","Sample_Pan03","Sample_Pan04","Sample_Pan05","Sample_Pan06","Sample_PC10","Sample_PC11","Sample_PC12","Sample_PC13","Sample_PC14","Sample_PC15","Sample_PC16","Sample_PC17","Sample_PC18","Sample_PC19","Sample_PC1","Sample_PC20","Sample_PC21","Sample_PC22","Sample_PC23","Sample_PC24","Sample_PC25","Sample_PC26","Sample_PC27","Sample_PC28","Sample_PC29","Sample_PC2","Sample_PC30","Sample_PC31","Sample_PC32","Sample_PC33","Sample_PC34","Sample_PC35","Sample_PC36","Sample_PC3","Sample_PC4","Sample_PC5","Sample_PC6","Sample_PC7","Sample_PC8","Sample_PC9"
"ENST00000328090.9|FAM208B-201|78903",2,2,2,0,1,0,1,1,1,2,2,0,0,2,2,0,0,2,1,1,1,2,1,0,0,1,0,0,0,0,3,2,0,1,0,0,1,0,0,0,0,1,1,1,2,2,1,0,1,0,0,1,2,0,1,2,2,3,0,2,3,0,0,0,0,1,0,0,1,9,6,0,0,1,1,1,2,0,0,0,2,0,2,0,0,0,1,2,1,0,0,0,1,0,5,6,4,3,0,0,1,1,0,2,1,1,1,3,0,2,1,0,0,0,5,1,0,3,3,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,1,0,0,3,2,0,0,1,1,2,3,1,1,0,0,0,0,0,0,2,0,2,4,3,2,0,1,0,0,3,1,0,1,1,1,0,2,0,2,2,0,0,1,4,0,0,1,4,0,1,1,0,2,2,4,8,2
"ENST00000380191.8|GDI2-203|48327",5,4,6,1,6,2,3,7,4,3,9,4,4,6,6,7,5,6,8,4,2,4,5,8,10,3,6,8,4,2,1,1,3,7,2,4,7,7,2,3,8,9,3,7,1,6,7,0,5,1,6,8,8,6,2,2,2,3,4,2,1,2,3,1,5,7,5,16,4,3,5,8,10,4,6,9,6,2,2,5,5,4,5,2,6,2,4,6,6,2,6,3,11,7,5,3,4,9,3,2,11,4,2,5,5,5,5,3,7,5,3,7,4,7,4,8,4,9,1,6,5,3,5,2,2,4,3,2,6,3,6,6,5,9,7,4,5,3,5,4,2,4,6,6,8,4,3,0,3,2,5,4,3,1,1,7,7,2,7,7,9,9,2,5,3,7,3,7,3,3,2,3,4,2,8,4,4,7,10,4,3,3,3,4,2,6,15,3,3,5,2
"ENST00000344293.5|TAF3-201|198124",1,1,4,3,1,2,1,3,0,0,1,2,1,0,1,1,2,0,3,1,0,1,0,1,0,1,0,5,0,0,2,0,2,1,1,0,0,2,0,0,0,2,1,1,3,3,2,1,0,1,1,3,3,0,0,3,0,2,1,1,0,0,1,5,0,1,1,0,6,1,1,1,2,1,0,1,2,0,2,1,1,1,1,0,2,1,3,1,0,0,1,1,1,8,2,2,1,4,5,1,3,6,1,0,0,1,0,3,0,0,4,0,0,0,0,1,0,2,1,3,0,1,0,0,1,1,0,0,0,1,0,0,2,2,2,1,1,1,0,2,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,2,1,2,0,2,1,2,1,1,1,2,3,1,0,2,0,0,1,2,0,1,3,1,1,0,1,2,0,3,4,2,12,3,2,1,3
"ENST00000609104.5|USP6NL-205|157809",0,0,0,0,1,0,1,0,0,1,7,0,0,0,2,1,2,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,3,0,2,2,0,1,0,0,2,1,1,0,2,2,2,2,2,1,1,0,0,1,0,0,1,1,1,2,0,0,0,0,0,1,1,3,0,0,1,0,0,1,0,1,3,0,1,0,1,1,0,4,0,0,0,0,1,0,0,0,1,2,2,1,1,1,0,3,1,2,2,1,5,2,3,1,3,0,1,1,3,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,1,4,1,2,3,0,1,1,2,0,1,2,1,0,3,2,0,1,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,3,1,0,1,2,0,2,2,3,0,1,1,0,0,0,0,1,0,1,0,0,1,4,0,5,0,1,1
"ENST00000619168.4|CAMK1D-204|486064",0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,2,1,1,1,2,0,3,2,1,1,0,3,0,0,0,0,1,1,2,0,3,0,5,2,0,5,0,1,1,2,3,1,1,0,0,2,1,2,1,0,5,0,1,1,0,0,0,2,1,1,0,1,1,1,2,2,3,2,0,0,3,1,0,0,0,0,0,1,0,0,1,2,1,2,2,0,0,0,1,1,0,2,0,1,3,1,0,1,2,1,1,3,1,2,2,2,0,0,0,0,0,0,1,0,1,3,1,2,1,0,0,3,5,1,4,2,1,1,1,1,1,0,0,2,2,0,0,3,0,0,1,0,1,1,1,1,0,1,0,2,2,5,2,0,1,2,0,3,0,1,0,2,1,0,1,0,1,1,1,0,1,0,0,1,1,1,4,2,1,2,3
"ENST00000464049.1|PHYH-206|3527",0,1,3,0,3,0,1,2,3,1,0,0,0,2,4,1,1,2,2,0,3,3,1,4,3,3,1,2,2,0,0,2,1,1,2,1,0,1,0,3,3,1,2,1,0,2,2,2,0,0,1,0,3,0,1,1,1,0,1,1,1,0,0,0,2,0,0,2,1,1,3,0,0,2,0,1,1,2,0,1,0,1,1,2,1,3,2,1,0,0,0,0,1,10,2,1,1,0,1,0,2,1,0,0,4,2,0,1,3,1,0,1,0,0,1,0,0,2,0,0,1,1,0,2,0,0,0,0,2,0,3,1,1,2,3,2,2,1,0,0,0,1,3,0,0,2,2,1,1,0,0,0,0,0,0,1,3,2,2,0,3,2,1,2,1,3,1,1,0,0,3,0,0,2,1,0,1,0,0,1,0,0,0,1,2,3,2,3,1,3,2
"ENST00000440282.5|BEND7-203|39986",41,67,25,6,1,1,3,10,8,6,6,3,4,2,1,4,5,10,3,66,97,44,11,14,11,10,5,6,4,3,4,2,4,6,12,5,8,11,0,5,5,14,3,12,26,83,69,7,6,6,6,15,9,7,3,3,11,3,7,6,7,7,7,2,6,13,5,3,4,81,70,45,6,7,3,5,3,2,4,6,11,10,4,7,6,9,6,4,7,2,1,1,7,17,63,64,99,7,2,4,3,7,7,6,5,20,7,11,7,6,17,8,8,10,9,2,5,7,5,7,4,3,8,2,3,6,9,5,6,6,3,4,10,8,2,5,13,5,8,2,6,3,8,8,8,5,12,6,4,4,2,1,1,1,0,69,58,84,5,7,6,6,5,11,13,6,7,7,6,4,6,1,4,9,8,6,2,8,3,2,1,6,3,6,8,9,8,14,151,90,49
"ENST00000466271.1|BEND7-205|32187",37,38,23,16,19,15,24,30,39,20,18,15,17,27,29,23,31,40,28,19,22,14,21,35,36,34,65,67,21,18,19,8,17,19,17,17,24,30,30,23,21,27,29,33,10,31,32,21,24,13,40,35,35,19,42,42,23,24,18,20,23,25,14,24,16,46,11,47,24,19,14,17,33,36,35,62,40,40,15,13,23,16,27,25,17,19,21,15,22,9,21,19,16,33,24,17,11,40,38,18,28,24,10,12,21,38,29,32,38,23,5,16,31,40,63,28,16,23,12,27,17,14,27,9,24,13,31,19,16,22,15,31,32,26,23,30,20,13,13,25,9,49,24,31,35,26,29,14,11,9,8,6,6,10,3,16,22,15,42,33,52,46,29,15,18,24,15,15,20,19,22,28,14,15,13,22,24,14,18,21,13,26,17,26,40,40,30,35,18,9,7
"ENST00000357447.6|FRMD4A-203|687179",1,0,0,0,0,0,0,0,2,0,2,0,0,1,2,1,0,1,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,3,1,1,1,0,2,3,1,1,0,0,0,2,0,0,0,0,0,0,2,0,2,3,0,0,1,0,2,1,0,0,0,0,0,2,0,1,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,1,2,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,3,0,1,2,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,3,0,1,2,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,3,2,0,0,2
"ENST00000378116.8|FAM171A1-201|159417",0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2,0,0,1,1,0,1,1,0,0,2,2,0,1,1,0,0,1,3,1,0,1,2,2,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,4,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,2,3,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,2,0,0,1,0,2,0,1,1,1,1,2,0,0,0,2,2,2,0,0,1,2,1,0,0,1,0,0,0,0,2,0,2,2,0,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,3,1,0,1
"ENST00000378076.3|ITGA8-201|206177",0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,2,2,1,0,0,1,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,3,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,3,1,3,0,0,0,1,0,0,1,0,0,2,1,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,1,0,2,0,0,4,1,0,1,2,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,2,0,0,1,0,0
"ENST00000377833.8|CUBN-202|305868",0,1,0,0,1,0,0,0,1,1,3,1,0,0,3,0,0,1,1,2,2,1,0,0,2,0,1,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,2,1,1,9,2,10,0,2,2,0,1,1,0,4,1,0,0,0,4,0,1,1,4,0,1,0,3,1,0,0,4,1,2,2,6,1,0,2,0,0,1,1,3,0,0,0,0,0,2,2,0,2,0,0,1,2,0,0,0,1,1,2,3,1,2,2,2,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,2,0,2,1,0,1,1,1,3,0,0,1,1,1,0,0,0,0,1,0,0,2,1,0,1,1,0,1,0,1,2,2,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,2
"ENST00000469543.5|VIM-203|7590",0,0,1,0,0,0,1,3,1,0,0,2,1,0,0,0,1,0,0,0,1,0,2,4,2,0,0,2,0,0,0,1,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,3,0,0,2,0,0,1,0,0,1,2,1,1,0,0,1,1,0,0,1,2,0,1,2,2,0,1,0,0,3,1,2,1,0,1,0,0,2,1,0,0,0,1,0,1,2,2,0,1,2,3,2,0,0,0,0,0,1,0,0,2,0,0,1,0,3,1,0,0,3,1,0,1,0,0,1,2,0,0,0,1,1,1,0,1,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4,2,7,2,1,2,1,0
"ENST00000569591.2|MRC1-201|101827",0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,1,1,0,1,1,0,0,0,2,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,2,3,0,0,2,2,0,1,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,4,2,0,0,0,2,0,0,0,3,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENST00000377275.3|ARL5B-201|22235",0,1,0,0,0,3,1,0,1,2,0,0,0,0,0,1,4,0,0,1,0,2,1,0,0,0,1,1,1,2,0,1,3,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,1,0,0,0,2,0,0,1,3,0,1,1,0,0,1,0,3,2,0,0,1,0,0,1,0,1,2,0,0,1,2,1,0,1,1,0,0,0,0,1,1,2,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,2,0,3,4,0,1,0,0,1,1,0,0,0,0,1,2,1,1,0,2,1,1,0,1,0,4,0,2,1,1,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,2,4,0,0,0,0,2,0,3,0,0,2,1,3,1,1,2,1,0,1,0,0,0,1,4,1,1,3,0,2,3,1,0,0
"ENST00000377252.4|PLXDC2-203|473618",0,2,0,2,1,0,0,0,3,5,0,1,0,0,3,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,1,0,2,5,2,1,0,3,2,0,0,2,1,16,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1,2,0,0,1,1,0,2,3,0,0,0,0,0,1,1,1,1,0,0,1,1,2,0,0,2,1,0,0,3,0,2,0,1,1,3,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,2,0,1,0,0,0,0,2,0,1,0,1,2,0,0,1,0,1,0,1,0,3,1,0,3,0,1,0,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0
"ENST00000377119.5|NEBL-201|29457",0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,11,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,2,17,1
"ENST00000472663.1|MSRB2-203|16811",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2,0,2,0,4
"ENST00000466890.1|ANKRD26-204|3698",1,1,0,0,0,1,0,0,0,1,0,0,0,2,3,0,3,2,1,0,1,1,0,0,0,3,0,0,0,3,0,1,1,1,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,4,0,0,0,3,0,0,2,3,1,0,0,0,2,0,0,6,0,1,1,2,3,0,2,0,4,1,1,0,1,2,0,1,0,0,0,1,1,0,0,3,1,1,3,1,0,1,1,1,0,0,2,0,0,1,1,2,3,4,3,0,0,1,2,0,0,0,1,1,0,0,0,1,2,0,0,1,0,3,0,3,0,1,0,0,1,2,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,3,1,0,0,0,2,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"ENST00000375664.8|WAC-205|90620",0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,1,0,0,2,0,1,0,3,2,0,2,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,2,1,0,0,0,1,2,2,1,7,0,1,1,1,0,3,0,0,0,3,0,0,1,0,0,2,1,1,2,0,1,0,0,3,0,2,0,0,0,1,2,1,1,1,0,0,0,0,2,0,0,1,3,0,1,4,1,0,1,0,1,5,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"ENST00000483758.1|SVIL-210|92166",1,0,1,0,2,1,0,2,3,1,1,2,0,4,9,1,1,0,1,2,0,0,1,1,0,2,2,2,0,2,1,0,0,0,4,0,0,3,0,0,0,2,0,5,1,1,1,4,1,6,11,0,31,1,0,0,0,0,2,0,8,3,0,1,2,1,0,0,7,5,5,1,0,5,0,4,0,7,0,0,1,7,1,0,2,0,0,2,1,1,0,0,1,1,1,8,2,3,2,2,2,0,1,0,1,0,2,4,0,6,0,0,1,0,0,0,0,4,0,1,2,0,0,0,1,2,1,0,2,0,1,1,4,1,0,0,4,3,2,2,0,1,2,0,10,0,3,0,4,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,2,0,0
"ENST00000375377.1|JCAD-201|46725",39,32,46,22,22,16,23,28,22,24,19,23,9,21,28,16,23,23,35,17,27,21,28,36,28,43,45,40,16,24,20,12,24,17,14,26,33,16,38,28,26,30,41,46,10,38,43,33,19,17,26,38,27,25,35,23,18,31,24,14,33,21,16,23,26,23,19,45,37,12,35,33,30,19,49,51,35,31,15,33,22,21,21,34,22,34,15,13,26,9,19,24,24,35,27,13,19,52,40,25,23,27,19,27,36,21,24,14,24,20,27,29,33,36,45,27,9,21,22,16,22,19,22,11,33,26,19,17,17,11,20,18,12,17,24,21,19,24,18,20,21,44,34,27,21,46,25,27,37,10,8,10,6,5,8,38,38,26,32,48,43,45,50,33,22,39,23,27,20,26,22,27,22,23,33,28,30,25,21,26,11,33,21,22,34,39,50,34,19,28,24
"ENST00000302418.4|KIF5B-201|47422",0,0,0,2,2,2,0,2,4,0,4,1,1,1,0,1,2,1,1,2,1,2,2,1,4,1,4,0,3,2,3,3,2,0,1,4,1,2,0,3,2,0,1,5,0,2,3,2,3,3,2,3,0,4,0,0,1,4,1,3,2,5,1,0,3,1,2,2,2,3,0,2,2,1,4,0,3,1,2,2,4,1,1,0,0,2,1,1,2,4,2,2,3,0,3,0,1,1,3,2,4,2,0,1,1,0,3,2,2,2,2,0,0,1,0,3,1,3,1,0,4,2,2,4,1,4,2,2,0,2,3,1,1,4,3,1,0,1,0,3,1,2,1,1,1,3,1,1,3,0,0,0,0,0,0,5,2,0,0,0,2,0,1,0,1,0,3,0,3,2,2,3,1,2,2,0,0,0,2,1,1,2,1,3,3,2,0,2,6,1,0
"ENST00000321660.1|GJD4-201|3526",1,5,5,6,1,3,3,3,2,1,3,2,1,2,1,0,2,3,6,3,2,1,1,1,6,2,5,3,2,2,2,2,1,4,1,3,1,3,4,2,1,5,2,2,2,5,2,3,1,1,10,6,5,1,6,2,1,0,3,4,3,1,1,5,2,5,1,1,1,2,3,2,2,5,3,7,2,5,1,2,2,2,5,3,3,2,4,2,2,0,2,2,1,6,1,2,0,2,0,1,5,1,4,4,3,2,2,5,2,4,0,1,0,4,3,2,2,2,1,3,1,4,1,1,2,0,5,3,0,1,1,2,1,0,3,0,3,0,1,2,0,4,1,1,8,2,1,1,1,0,0,0,0,0,0,0,2,3,2,4,8,2,3,0,3,1,0,2,0,0,3,3,0,1,2,1,1,1,4,2,2,1,3,0,6,9,8,3,2,1,2
"ENST00000374694.2|FZD8-201|4030",0,2,3,1,2,1,0,0,2,0,0,0,1,2,0,2,2,0,0,4,3,0,1,1,1,6,3,2,2,4,1,3,2,1,2,3,0,1,1,7,1,2,1,2,2,0,3,1,4,0,1,1,7,2,4,2,4,0,3,0,4,2,3,0,0,0,1,3,1,3,2,1,1,4,3,8,2,3,1,1,2,3,3,3,2,3,1,0,0,0,0,3,0,8,0,0,3,4,1,1,2,1,2,2,1,1,2,4,2,0,0,1,0,2,0,0,1,2,0,3,3,1,1,3,3,3,1,2,0,0,1,1,0,4,0,0,2,1,1,2,0,2,1,3,2,1,3,0,2,2,1,0,0,0,0,0,4,0,2,0,2,0,0,2,0,7,1,1,0,2,2,1,0,4,2,0,0,2,0,0,1,0,2,2,2,0,1,2,1,0,3
"ENST00000544824.2|MTRNR2L7-201|1535",20,33,48,37,33,29,42,37,30,24,51,22,31,35,38,28,44,55,46,46,43,47,29,46,30,37,58,40,51,42,24,30,37,25,29,49,29,36,40,22,37,53,39,43,35,36,61,35,30,29,43,39,31,29,25,25,43,31,43,39,31,38,31,24,65,29,37,48,34,25,41,38,40,16,43,41,34,24,34,25,37,37,28,34,31,45,33,25,38,31,33,47,40,42,65,45,38,48,38,51,67,50,17,28,33,48,31,33,31,28,23,21,36,32,23,40,28,25,22,28,37,31,30,31,46,71,25,33,20,13,25,31,33,66,31,17,35,37,23,29,24,36,50,37,41,53,42,23,49,7,13,13,15,17,12,49,67,37,37,36,34,29,52,32,22,39,26,19,25,28,34,33,20,45,28,36,36,39,22,36,34,24,15,30,37,47,61,62,36,51,42
"ENST00000374518.5|BMS1-201|52137",0,1,3,0,1,1,1,2,1,1,1,0,0,0,1,0,1,1,0,0,0,2,3,2,1,0,0,2,1,0,2,1,1,0,3,0,2,0,0,0,0,3,0,2,2,0,1,0,0,2,7,0,2,0,1,1,1,0,0,0,2,0,1,1,0,1,0,3,4,6,0,1,2,2,1,1,0,2,0,1,1,2,1,3,1,1,1,0,1,2,0,0,1,1,1,1,2,1,0,0,4,0,2,1,0,1,1,0,2,0,2,2,0,2,0,0,0,1,0,0,1,1,0,1,0,2,2,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,2,1,1,4,1,1,0,1,1,1,1,0,0,1,3,0,1,6,0,0,0,6,0,0,1,1,0,1,1,0,2,0,1,1,2,0,1,1,0,1,0,0,1,0,1,1,0,2
"ENST00000614356.1|ANXA8L1-204|54945",1,6,1,0,1,0,3,0,1,1,1,1,0,1,0,0,0,0,1,0,2,0,5,2,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,3,0,0,0,3,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,2,1,1,1,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,2,5,1,0,1,1,0,0,1,0,2,1,2,2,0,1,0,2,0,2,0,1,3,0,1,0,1,0,1,0,0,0,2,0,2,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,2,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,3,4,1,2,0
"ENST00000581492.2|GDF2-201|3781",3,13,7,1,4,0,1,4,4,7,11,1,4,5,3,2,3,7,2,4,4,3,2,7,4,2,12,6,4,3,7,5,3,1,2,6,1,3,1,3,3,5,3,8,1,9,7,6,4,7,9,7,9,0,8,2,2,3,3,1,10,3,3,6,2,3,3,8,4,15,2,8,6,6,8,14,11,7,3,3,6,1,1,6,2,4,6,3,4,1,7,2,3,10,1,3,5,10,6,3,6,3,1,4,4,4,4,6,2,6,2,1,3,4,5,0,7,2,3,1,7,6,2,0,6,4,3,2,2,5,2,3,3,3,2,4,2,3,1,4,2,10,8,6,10,5,3,5,2,2,2,1,0,1,0,5,9,0,6,4,11,9,5,9,5,3,9,7,2,5,3,3,0,2,4,5,4,3,0,4,4,5,2,4,3,9,11,4,5,0,2
"ENST00000426557.5|MAPK8-208|103119",4,2,0,0,0,0,0,1,3,0,1,0,2,2,3,0,1,1,1,0,0,1,2,4,1,9,6,4,0,0,0,2,0,0,1,3,1,0,1,2,2,0,2,3,1,0,3,2,1,1,2,0,7,0,1,0,0,3,1,1,4,0,1,0,1,0,1,1,4,4,1,1,4,3,5,2,1,3,1,3,0,0,1,2,2,0,0,0,1,0,0,0,2,1,0,5,4,8,1,1,2,1,1,1,2,3,1,4,5,1,0,1,2,3,5,0,2,0,0,1,1,0,1,0,1,0,2,4,1,0,0,1,1,0,3,0,1,0,0,0,0,3,4,0,7,1,0,0,3,1,0,1,0,0,0,1,2,1,1,3,1,17,1,1,1,3,5,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,5,10,7,1,3,4
